file,mu0,gamma0,theta0,theta1,eta0
PG3-20171210152155.pkl,0.0357677254465,3.35881814974,0.540006038858,7.00195813496,2.14461586392
PG3-20171210152332.pkl,0.450551118064,3.08612345986,0.193243959681,7.96371065297,3.04579992861
PG3-20171210152519.pkl,3.12209397463,3.11973734014,0.611833250565,5.15651729093,7.53197068772
PG3-20171210152828.pkl,2.66226261426,2.38582696155,0.691939226468,1.39555107933,8.31307136904
PG3-20171210152924.pkl,2.14588830071,2.79318424668,0.951834919617,0.412740199125,6.84184927469
PG3-20171210153141.pkl,0.653747982872,6.68828758235,0.160193612556,6.17236000785,5.49303922994
PG3-20171210153234.pkl,1.62738104542,6.26722348277,0.0222108314148,4.32505253136,8.01312850571
PG3-20171210153407.pkl,2.22834158835,2.36177725703,0.143423220685,4.11262338153,5.07298047454
PG3-20171210153659.pkl,0.144828586019,9.9121335876,0.174311045278,1.82801180978,1.3943479258
PG3-20171210153959.pkl,3.29871750514,5.82671160173,0.266409477084,9.45573393989,1.31947432754
PG3-20171210154052.pkl,3.91258083693,2.33787288072,0.102304892853,2.47499511109,9.84758317252
PG3-20171210154459.pkl,3.62214578209,2.43332102763,0.173552820612,8.29983323271,1.07274697006
PG3-20171210154643.pkl,2.92403797687,9.61321019271,0.940361194696,3.90979031864,8.92905602374
PG3-20171210154934.pkl,2.93708290943,1.3332182115,0.384273323162,2.73591838376,8.90690847251
PG3-20171210155111.pkl,0.133335782377,4.55056262737,0.39105240514,1.43550562532,9.99177914729
PG3-20171210155310.pkl,3.78013985868,1.12324374471,0.557423208988,9.91326980735,9.91203857435
PG3-20171210155456.pkl,0.372184618917,6.68403628632,0.963504416461,0.429183993911,8.41615320418
PG3-20171210155809.pkl,3.71582684215,3.68400560162,0.623892166617,7.29760892852,1.02092718959
PG3-20171210155945.pkl,3.56179874469,0.6041790483,0.231975502891,1.79368270089,3.51128340786
PG3-20171210160217.pkl,1.61079190018,2.74430080676,0.0724219942864,8.87641076593,2.67110479026
PG3-20171210160412.pkl,1.13156716095,1.27709740796,0.786844558342,8.10757780843,5.86629730209
PG3-20171210160541.pkl,2.42582145686,8.43374245742,0.243450986704,5.67050839909,3.37887887934
PG3-20171210160837.pkl,2.18202092514,3.31682370803,0.135236485979,9.53687537237,1.07450844693
PG3-20171210161037.pkl,2.23522530479,2.72151703564,0.358525566028,1.91202308721,9.72797846728
PG3-20171210161215.pkl,0.898273464076,1.02300403896,0.882738850776,2.58988394406,2.74975712095
PG3-20171210161519.pkl,2.5251727695,3.6412973061,0.679114160242,3.82322338387,3.86703673612
PG3-20171210161614.pkl,1.41566253536,9.61297040515,0.355024979799,6.58896570061,1.23006750419
PG3-20171210161753.pkl,0.071271186329,1.25092215447,0.765629882168,1.33169462911,6.29785580305
PG3-20171210161843.pkl,0.75750641899,8.87798854578,0.0661389189533,1.89841807144,9.26821082079
PG3-20171210162032.pkl,3.8293565745,0.536367455775,0.676833325874,4.08513793137,8.61506262778
PG3-20171210162222.pkl,3.98278666698,7.66139748321,0.61806276678,6.1159750638,8.16808100933
PG3-20171210162519.pkl,2.35238817802,6.77392285689,0.720272451672,6.59857103577,5.84726900772
PG3-20171210162659.pkl,1.87684744462,8.49764597716,0.968549487961,5.23438392413,9.06553960933
PG3-20171210163726.pkl,3.79178321095,6.07471963619,0.652097600642,8.07998378676,6.38846727211
PG3-20171210163904.pkl,0.0938948388042,0.697450347333,0.192075939968,2.26845359749,7.05029474346
PG3-20171210164100.pkl,3.56308012416,1.61867703991,0.868417407488,8.96110707642,8.74992733456
PG3-20171210164212.pkl,1.23251794232,8.7009961277,0.0112653076451,2.34215405243,7.20323870905
PG3-20171210164348.pkl,0.677395499502,8.84513833864,0.561900065211,6.56741483061,6.34609187765
PG3-20171210164527.pkl,3.11669094332,8.00703407921,0.065204874255,9.59433950449,2.19418505151
PG3-20171210164735.pkl,1.59818930567,8.49213374874,0.0524289847421,9.44791671614,8.48109711301
PG3-20171210165048.pkl,3.81949209034,5.48335729706,0.624335703453,6.10335436853,1.23835644978
PG3-20171210165247.pkl,2.48945828332,1.76243413141,0.624778915429,8.14086558831,5.68427618934
PG3-20171210165728.pkl,2.10620357442,4.27064985244,0.0718413255751,8.21422839785,4.175459378
PG3-20171210165903.pkl,0.447044907128,7.01730647935,0.0207036825739,3.19242216214,2.66840517919
PG3-20171210170114.pkl,0.478932789833,4.46965798715,0.919470416151,7.77752151187,9.66483373718
PG3-20171210170314.pkl,1.03692576993,3.61951060727,0.684053925423,1.77509009933,1.09651720773
PG3-20171210170407.pkl,1.05832743705,9.91843136587,0.106555455243,9.30091127092,5.32825370219
PG3-20171210170547.pkl,0.557141737573,1.67032782423,0.13908450507,3.3329046368,2.91631427144
PG3-20171210170842.pkl,0.899265174857,8.33114229725,0.779944184761,7.47423819061,2.11534755884
PG3-20171210171127.pkl,1.47856683074,0.520235016471,0.714614963101,0.38395393518,2.01342073646
