new_id,source_id
0,937
1,2126
2,3924
3,4231
4,5048
5,5933
6,6490
7,6727
8,7759
9,7976
10,8582
11,8894
12,9819
13,9885
14,9918
15,10302
16,10987
17,11082
18,11110
19,11156
20,11243
21,11560
22,11813
23,11993
24,12579
25,14030
26,14435
27,15016
28,15060
29,15122
30,15650
31,16620
32,16864
33,17066
34,17351
35,17643
36,17828
37,17906
38,17970
39,18023
40,18067
41,18082
42,18121
43,18312
44,18985
45,19117
46,19125
47,19188
48,19303
49,19331
50,19430
51,20059
52,20117
53,20191
54,20194
55,20229
56,20310
57,20392
58,20493
59,20550
60,20615
61,20620
62,20695
63,20849
64,20898
65,20994
66,21066
67,21185
68,21279
69,21555
70,21717
71,21792
72,22237
73,22430
74,22519
75,23052
76,23823
77,24125
78,24716
79,24760
80,25077
81,25374
82,25546
83,26765
84,26896
85,27135
86,27453
87,27772
88,27815
89,27985
90,28327
91,28344
92,28402
93,28409
94,28715
95,28748
96,28778
97,28818
98,28939
99,29227
100,29250
101,29378
102,29396
103,29497
104,29582
105,29673
106,29932
107,30029
108,30030
109,30142
110,30147
111,30150
112,30166
113,30361
114,30369
115,30386
116,30406
117,30428
118,30505
119,30524
120,30583
121,30683
122,30685
123,30716
124,30817
125,30991
126,31512
127,32146
128,32593
129,32638
130,32727
131,33270
132,33296
133,33480
134,33494
135,33630
136,33781
137,34128
138,34206
139,34226
140,34364
141,34707
142,34872
143,34919
144,35127
145,35239
146,35242
147,35505
148,35512
149,35525
150,35599
151,35836
152,36116
153,36481
154,36539
155,36575
156,36890
157,37141
158,37221
159,37304
160,37556
161,37723
162,37767
163,37924
164,38132
165,38154
166,39869
167,40084
168,40493
169,40509
170,41137
171,41443
172,42263
173,42430
174,42494
175,42855
176,43000
177,45280
178,45470
179,45594
180,45692
181,47081
182,48275
183,48997
184,49244
185,49473
186,49619
187,49859
188,50393
189,50649
190,50802
191,50808
192,50953
193,50980
194,51295
195,51667
196,51704
197,51728
198,51933
199,52585
200,52601
201,53147
202,53272
203,53282
204,53341
205,53348
206,53356
207,53361
208,53382
209,53474
210,53563
211,53988
212,54088
213,54260
214,54278
215,54284
216,54320
217,54524
218,54787
219,54791
220,54812
221,54907
222,54936
223,54974
224,55344
225,55363
226,55404
227,55406
228,55457
229,55466
230,55472
231,55476
232,55489
233,55557
234,55563
235,55571
236,55624
237,55626
238,55663
239,55689
240,55838
241,55966
242,56043
243,56066
244,56078
245,56225
246,56254
247,56390
248,56541
249,56548
250,56558
251,56560
252,56600
253,56624
254,56711
255,57137
256,57144
257,57149
258,57213
259,57418
260,57518
261,57539
262,57665
263,57763
264,58207
265,58252
266,58323
267,58361
268,59036
269,59153
270,59320
271,59351
272,59456
273,59600
274,59663
275,59872
276,59901
277,59914
278,59961
279,60348
280,60422
281,60502
282,60594
283,60763
284,60779
285,60862
286,61480
287,61484
288,61539
289,61820
290,61940
291,62057
292,62091
293,62161
294,62216
295,62338
296,62532
297,62668
298,62835
299,62883
300,62914
301,62929
302,62934
303,63011
304,63049
305,63121
306,63124
307,63178
308,63245
309,63389
310,63473
311,63500
312,63574
313,63592
314,63601
315,63606
316,63613
317,63620
318,63624
319,63660
320,63697
321,63732
322,63813
323,63842
324,63937
325,63943
326,63983
327,64107
328,64144
329,64157
330,64166
331,64195
332,64231
333,64261
334,64267
335,64627
336,64652
337,64677
338,64702
339,64802
340,65031
341,65037
342,65333
343,65343
344,65411
345,65562
346,65565
347,65630
348,65725
349,65779
350,65827
351,65967
352,66045
353,66321
354,66387
355,66503
356,66660
357,66681
358,66711
359,66762
360,66777
361,66823
362,66883
363,66973
364,67043
365,67079
366,67099
367,67114
368,67197
369,67211
370,67244
371,67367
372,67608
373,67610
374,67613
375,68338
376,68355
377,68413
378,68430
379,68512
380,68538
381,68586
382,68647
383,68841
384,68881
385,68890
386,68924
387,69067
388,69183
389,69321
390,69463
391,69578
392,69890
393,70315
394,70405
395,70425
396,70455
397,70647
398,70685
399,71351
400,71379
401,71621
402,71768
403,71856
404,72298
405,72584
406,72647
407,72857
408,73044
409,73106
410,73427
411,73584
412,73623
