file,mu0,gamma0,theta0,theta1,eta0,kappa0,scale0
PCG3a-20180126160237.pkl,0.0284482143297,3.75474537457,0.866805259194,7.7977926927,7.83800675902,39.034681144,0.707977381898
PCG3a-20180126161128.pkl,2.41706406493,4.32256177216,0.788234086018,7.60863810315,6.18524107706,85.0945081835,1.32549447244
PCG3a-20180126161738.pkl,1.05899858743,6.06766853957,0.190124212577,5.30771192434,8.42623488308,73.1267468292,0.221671165979
PCG3a-20180126162043.pkl,2.9310852594,3.60658223811,0.740724301306,1.03617819307,9.57045767242,51.4520609142,1.61705552803
PCG3a-20180126162426.pkl,0.906413670631,5.31046219993,0.33674313534,0.471755021993,4.65335915787,79.6894796753,2.68478869565
PCG3a-20180126163210.pkl,1.87524964148,6.40870558609,0.500043009897,9.51593908074,7.0561785323,40.7793483741,2.2396191883
PCG3a-20180126163842.pkl,3.78755326856,2.5994321379,0.913250454766,2.10381205264,8.33125684699,60.3162527026,1.74917783201
PCG3a-20180126164551.pkl,0.154443410362,6.61055342535,0.216666457571,1.74193572533,5.7863949792,2.2960059407,2.08537732107
PCG3a-20180126165250.pkl,3.52416338037,6.1748453325,0.876418881332,6.86095101662,5.32210457737,72.03690011,0.0845310182673
PCG3a-20180126170320.pkl,3.17677631252,4.97501932602,0.694654040553,5.25342337075,8.58129300799,13.267644615,2.90828059404
PCG3a-20180126171040.pkl,1.0439098279,4.41469813247,0.361117012651,5.73322948053,9.32002254113,46.8902689708,1.36657078401
PCG3a-20180126171721.pkl,2.66655376137,2.43146299894,0.931017115132,9.3928066629,7.02603848045,67.6375189726,1.28595401531
PCG3a-20180126172352.pkl,0.413398499371,9.70247644116,0.339535074358,1.75144725264,1.16621972848,23.4067921012,2.37189804102
PCG3a-20180126172755.pkl,1.72128493145,7.48733330936,0.64789866981,0.532817544359,4.00377957618,91.6606225212,1.35270910675
PCG3a-20180126173415.pkl,0.796002156962,4.37171313685,0.279819513096,2.22428228359,4.65636588956,38.0251715051,1.99962885729
PCG3a-20180126174504.pkl,1.41992887579,7.8631061509,0.930446755307,6.88374454473,9.53649659616,3.85111779017,1.50905687551
PCG3a-20180126175651.pkl,3.65804850521,7.00450646101,0.943172090325,2.44639073597,9.53627615072,56.9301902563,1.38525223144
PCG3a-20180126180407.pkl,1.37244719836,4.81499806353,0.0430028149361,8.48452430931,3.29666991397,37.9257666353,2.84800789619
PCG3a-20180126181133.pkl,2.91479234664,4.73116488076,0.76015896984,4.75721484823,6.98197067451,80.3646957286,1.0133019689
PCG3a-20180126181818.pkl,3.72644136824,2.27216620411,0.101536069871,2.79991217025,6.44478808352,34.9234894634,2.73609488662
PCG3a-20180126182857.pkl,3.40308765473,8.64919221446,0.126807747658,6.62192119336,9.36101514337,1.89461705554,2.01767543584
PCG3a-20180126183332.pkl,1.84154345859,9.44028452109,0.133510520535,2.72875535662,8.66428874269,5.51803487833,2.01259052248
PCG3a-20180126184020.pkl,1.47951064673,2.76388389632,0.804589765292,2.55270877909,8.84219183033,27.9335237692,2.25906254997
PCG3a-20180126184500.pkl,3.40589727975,4.99359137696,0.197121895843,7.65478381602,7.15385868978,63.6170338434,1.97513227999
PCG3a-20180126185047.pkl,1.78763192902,1.76064916369,0.200022370042,1.85445626138,9.05361328584,80.0585380311,1.18147068018
PCG3a-20180126185758.pkl,0.604317262092,8.4880921637,0.542071651929,8.79630744912,9.00503739021,34.4717159626,0.361642601757
PCG3a-20180126190451.pkl,1.27758152966,6.46695180026,0.395941954621,5.16712473365,7.20382631902,29.0614038566,0.580135400082
PCG3a-20180126191242.pkl,1.89025190723,0.46374398639,0.786787283757,9.11952495657,8.55204173567,77.3326029312,0.906114647031
PCG3a-20180126191926.pkl,0.569913701706,9.68725682789,0.00843448185049,5.97662310539,2.15262803023,74.0492340794,2.10643043675
PCG3a-20180126192649.pkl,2.05289831012,9.16559709998,0.544553099902,7.42595311529,6.58026986222,26.2147101681,1.0719965015
PCG3a-20180126193410.pkl,1.11647086983,1.92369897094,0.430891676703,2.9646108333,5.59339946697,71.9662701996,0.645570004607
PCG3a-20180126194218.pkl,2.58318827649,5.49421686221,0.833204473874,9.35133958795,9.4456143732,83.8402800698,0.930057034998
PCG3a-20180126194908.pkl,0.349967323766,3.08414468983,0.712711155987,9.42172433254,2.30123071151,31.0949771374,2.07099916192
PCG3a-20180126203045.pkl,3.52571649959,9.46594328096,0.297408834389,6.78176861388,7.85905940401,37.0693350465,2.69585935884
PCG3a-20180126203751.pkl,2.62103192803,2.336855529,0.459034178028,3.67584277966,2.51165688175,84.0363146127,1.81115220884
PCG3a-20180126204416.pkl,3.02984402236,6.64604793766,0.151674336017,9.06677974854,3.21208142083,22.1270540244,0.140000024762
PCG3a-20180126204932.pkl,1.39871786399,1.31146390267,0.242966662068,7.37488558746,6.11578294939,24.0457457898,2.80107416924
PCG3a-20180126205501.pkl,0.607759002942,2.05865328779,0.405179520557,5.35896279696,0.465237799252,62.7311725041,1.08603111926
PCG3a-20180126205747.pkl,1.10349885005,6.16585563612,0.0848784639495,4.0786094683,8.83991507637,8.39764226601,2.79782174603
PCG3a-20180126210025.pkl,0.695436416176,9.32961128069,0.0787037255937,7.69915137548,7.65364721489,86.258736617,1.56463235956
PCG3a-20180126210548.pkl,0.91741825904,1.48423674093,0.0356595398737,2.26126335799,8.33029286215,80.3899171014,0.933710456175
PCG3a-20180126211111.pkl,1.06809086582,3.95746382029,0.611331901036,6.14064523356,4.27055262063,14.5243418967,1.86424323964
PCG3a-20180126211359.pkl,1.437727162,9.38319741611,0.0428944758451,3.88717848461,8.70311130933,45.8857105187,2.10038037214
PCG3a-20180126211904.pkl,1.74229180948,2.64385625398,0.79022124573,2.78651446847,0.711342396748,68.4407129007,1.25011395574
PCG3a-20180126212425.pkl,1.66679457555,5.00287656883,0.626168031382,4.20486769177,9.0833287976,68.7372527129,2.46971405927
