file,mu0,gamma0,theta0,theta1,eta0,kappa0
PG3PC2-20171223223502.pkl,0.267843127437,18.3708312773,0.826318046184,8.58777689587,0.781442662275,22.8525832965
PG3PC2-20171223223708.pkl,0.950339418243,26.316069128,0.84484925338,7.05112799506,1.31024224778,93.640806598
PG3PC2-20171223223925.pkl,1.66249693576,19.6835752628,0.0770291616035,4.423443673,3.19094737446,27.0499924761
PG3PC2-20171223224148.pkl,2.93783292408,28.5996426606,0.350099724718,2.151420808,6.04116216003,4.56237363731
PG3PC2-20171223224350.pkl,1.11298809037,23.9545154666,0.41465231947,5.21122974944,6.35054886902,50.1558018031
PG3PC2-20171223224725.pkl,3.33851684288,7.40408253818,0.284603892081,7.02941437917,9.3353676463,27.2574232043
PG3PC2-20171223224945.pkl,0.467864738911,28.4244738112,0.739076396321,0.663403642306,3.05537511602,68.5641620297
PG3PC2-20171223225317.pkl,1.14958443991,12.7377385531,0.109241566655,9.93740961668,5.81227765982,27.1037909438
PG3PC2-20171223225518.pkl,1.47414189362,4.4198227627,0.744463615528,0.837770053639,8.15329612074,4.17232794162
PG3PC2-20171223225751.pkl,3.03379477742,25.4010476058,0.382270826717,0.633508654876,3.38652847345,15.5515780248
PG3PC2-20171223231036.pkl,3.34181433141,6.31342388763,0.136454773318,8.49302781966,5.5701927053,86.7681357743
PG3PC2-20171223231259.pkl,2.61479065088,23.9693448019,0.395130146226,6.61401144688,1.76444477815,68.9151509895
PG3PC2-20171223232445.pkl,3.34041934129,13.887652594,0.468240420746,9.72469491982,7.58242621071,89.987380957
PG3PC2-20171223232816.pkl,3.42811970402,11.0287242915,0.271451199464,9.7431239936,8.30735583654,21.9393229872
PG3PC2-20171223233026.pkl,1.61094136432,18.2656939704,0.755435338486,2.85031384515,7.13692554941,1.64466118786
PG3PC2-20171223233251.pkl,3.20605973028,22.5774517917,0.694305612659,1.24559167182,8.85867032386,58.26822086
PG3PC2-20171223233525.pkl,3.85119748887,26.4198362978,0.401467348485,9.57415565333,2.61207989747,79.2436355992
PG3PC2-20171223233923.pkl,1.56026704205,2.02896734207,0.230101208016,5.88172236213,1.38001912744,54.5582678557
PG3PC2-20171223234136.pkl,3.03010456162,26.047762963,0.275815976336,7.31987547791,5.66416643659,47.5391465427
PG3PC2-20171223234400.pkl,2.89909148366,24.55895172,0.976526644748,4.88209928515,5.71364642067,81.4823711725
PG3PC2-20171223234616.pkl,3.01334689557,27.8978282296,0.566618871737,8.646117277,6.50049698753,60.0867178966
PG3PC2-20171223234834.pkl,2.35574181374,29.2226979282,0.537216489171,7.5680965466,5.83254944025,42.457191612
PG3PC2-20171223235214.pkl,2.03264525275,19.4477130282,0.937780606809,8.65784727697,8.83098291948,63.8405970676
PG3PC2-20171223235430.pkl,1.48989457224,29.6256724584,0.610812071779,6.10404407473,3.84924822245,74.6855103899
PG3PC2-20171223235638.pkl,2.12339915419,10.8304765873,0.286690669834,8.2594653571,2.70903833204,34.4225280581
PG3PC2-20171223235854.pkl,3.25081021172,12.4212159495,0.536733235682,2.69874529479,1.79924885865,66.4458769402
PG3PC2-20171224000102.pkl,1.36404327817,14.9230553715,0.553288715915,1.97582202566,2.84322466794,65.065181706
PG3PC2-20171224000434.pkl,0.577423062433,6.93549433452,0.341858331089,2.6340595977,4.42053519674,60.5584897433
PG3PC2-20171224000709.pkl,2.98392923548,27.1619344548,0.887176235753,0.671493612551,5.63562094616,79.2188522989
PG3PC2-20171224000934.pkl,3.65384067463,12.1354382913,0.205031464453,0.37238479863,1.97409490782,53.9218647878
PG3PC2-20171224001419.pkl,0.718988119836,18.7560794696,0.124105520922,6.1937916203,4.95604533685,60.8209760852
PG3PC2-20171224001648.pkl,3.94677953846,29.5243414527,0.525257286013,1.36183724384,4.76352833321,25.2223588024
PG3PC2-20171224002319.pkl,1.51966979029,10.1560182035,0.310582261084,8.2052704766,4.07439643607,86.3970513789
PG3PC2-20171224002526.pkl,2.67347350366,25.5621726395,0.875262336784,8.1906479509,1.81484377034,61.1533051016
PG3PC2-20171224002730.pkl,1.75561286299,19.3313737689,0.756970067526,9.87637317885,5.82666695448,89.1296161009
PG3PC2-20171224002944.pkl,2.45390116708,22.1742820229,0.433706398059,2.8053736828,1.35423037317,64.1158716994
PG3PC2-20171224003336.pkl,0.0332486723677,19.1149121115,0.77571899881,6.40971017954,9.27845448316,11.3132737969
PG3PC2-20171224003738.pkl,2.65677592284,0.763240566183,0.841961373086,7.52110386982,5.81461018612,92.8923415461
PG3PC2-20171224004141.pkl,3.7755258756,7.72526891106,0.965088416369,5.48604686484,8.42770638184,65.1493269874
PG3PC2-20171224004611.pkl,0.887384956605,26.2893381774,0.410571872014,6.31981660969,7.62629935926,17.4118009964
PG3PC2-20171224004957.pkl,1.54068437149,12.2142179862,0.740103597665,5.21958277367,8.17418202002,21.4055458244
PG3PC2-20171224005157.pkl,3.54690307798,15.3196862063,0.145486281686,7.22626094545,9.71017239044,92.5841339703
PG3PC2-20171224005406.pkl,0.86329397559,23.7690957442,0.825901157218,5.70080307232,4.14659559294,3.54227592872
PG3PC2-20171224005619.pkl,2.21075237952,19.0727968529,0.660917144405,3.30710321412,0.057778188393,45.127584152
PG3PC2-20171224005821.pkl,1.70113082066,18.4064494388,0.37605188733,6.87167179999,6.42050262215,94.2397937158
PG3PC2-20171224010216.pkl,3.22927699529,4.92023395067,0.117777965171,6.53666020952,6.99822267974,24.6421327224
PG3PC2-20171224010442.pkl,2.09153921398,26.3054925543,0.447645229766,8.73594303668,3.4797097579,12.1429045527
PG3PC2-20171224010703.pkl,1.65190180269,29.1193819318,0.0829945218728,4.22788443156,6.66741014929,32.3548237514
PG3PC2-20171224010932.pkl,3.71427585327,29.1577545437,0.295127886674,5.24713772144,8.54281133227,70.8633482741
PG3PC2-20171224011141.pkl,3.70066515742,10.6810597675,0.811952637557,4.89980231304,7.8379877298,32.0856353947
PG3PC2-20171224011354.pkl,2.25779671944,12.2594261912,0.502826875215,1.72068236648,1.15539819613,93.3059549302
PG3PC2-20171224011612.pkl,1.96754263587,11.6496692796,0.851179763943,0.409065229778,3.02501821507,75.4394673954
PG3PC2-20171224011811.pkl,1.31087666804,18.3224932509,0.151096963734,5.16468323432,5.82062082897,54.5429759219
PG3PC2-20171224012018.pkl,1.6311087196,11.9165370478,0.864914121776,1.58973544488,5.60010416109,93.8185032575
PG3PC2-20171224012224.pkl,3.11223662343,13.4816082706,0.591435769233,5.16730425749,1.31522736821,30.8418815848
PG3PC2-20171224012439.pkl,2.1294274762,11.5288158671,0.696155991716,4.2802044781,1.9848374455,38.8304597611
PG3PC2-20171224012657.pkl,3.29833032139,18.1676891111,0.410102910727,1.3700899844,0.0353416742106,82.188731282
PG3PC2-20171224012914.pkl,1.61163304529,26.1542764065,0.268023616321,4.41408521872,1.45089439459,71.0862991151
PG3PC2-20171224013138.pkl,3.22053165119,22.5799622445,0.90035964288,1.43061563815,1.7477039661,22.2161689008
PG3PC2-20171224013534.pkl,3.89592919016,8.41535275177,0.740223449798,8.05868568573,2.25060147558,74.0222937536
