file,mu0,gamma0,eta0,kappa0
PC1-20171211155301.pkl,-0.86476406767,2.33087205676,21.3983595743,37.1080778571
PC1-20171211155415.pkl,1.75504198409,4.53083792151,97.9708789832,69.2061960442
PC1-20171211155530.pkl,-1.74737558785,3.19107243462,50.9187962121,81.8694926979
PC1-20171211155643.pkl,-3.75749591969,2.83008281984,24.5625153294,62.1406354515
PC1-20171211155805.pkl,1.15214741927,2.37093488557,89.0550766507,92.7227750235
PC1-20171211155940.pkl,2.30058252239,1.2840842574,90.5167484381,33.6565157109
PC1-20171211160054.pkl,-2.59346581762,3.80052064572,57.8595071729,11.8528421322
PC1-20171211160209.pkl,0.49704679208,3.47529852201,86.3798148018,20.1774029261
PC1-20171211160320.pkl,1.831555879,1.53337054081,16.8379612458,64.9775868004
PC1-20171211160433.pkl,-3.45265574274,7.55356325645,90.0218345207,22.1025778259
PC1-20171211160541.pkl,-1.43696659431,4.0359376248,10.3828654606,68.458434656
PC1-20171211160916.pkl,-1.75527688431,4.21164571355,0.21712561367,74.6967379757
PC1-20171211161028.pkl,1.36944343581,5.35765185487,2.70752010361,28.7222013587
PC1-20171211161137.pkl,0.113607812858,5.01900543649,76.3361074879,94.7709814865
PC1-20171211161241.pkl,-1.23983988362,8.56498438964,90.5409447393,76.7716610374
PC1-20171211161353.pkl,-2.1702354012,5.70999209052,37.6766125463,4.57490355782
PC1-20171211161502.pkl,-2.74768269132,6.14631674929,96.7421198158,55.293008419
PC1-20171211161611.pkl,-0.538375461088,9.90646835408,68.3353836496,96.6537233058
PC1-20171211162123.pkl,1.48810532256,0.252019148881,4.13032890086,79.6945414915
PC1-20171211162241.pkl,2.42319939697,2.33992990967,42.8394447659,37.1521440782
PC1-20171211162352.pkl,-0.25414523873,7.27738389932,75.1983170603,9.34562720383
PC1-20171211162503.pkl,3.13614790844,7.29483622643,66.3262451533,2.53905021085
PC1-20171211162617.pkl,-2.4312211841,4.04943552115,72.2413276521,47.4564340832
PC1-20171211162728.pkl,-2.92343940654,6.68851882743,65.9764143127,80.3872149788
PC1-20171211162838.pkl,-0.864110906387,9.56726742963,70.909506231,78.2905053016
PC1-20171211162953.pkl,-1.48474691181,1.45628046396,23.3949547244,8.54097522192
PC1-20171211163110.pkl,-3.80822853799,3.47212469728,98.5725915921,97.2535767661
PC1-20171211163223.pkl,3.67553158253,4.37010689082,86.1814818626,50.4307180261
PC1-20171211163331.pkl,-3.11511233141,9.29022369655,18.7998703945,4.87834415409
PC1-20171211163437.pkl,3.2176818893,8.09825833706,47.0308721829,86.809198672
PC1-20171211163541.pkl,-3.92657443957,3.10221202173,1.58939826271,24.6492891428
PC1-20171211163654.pkl,1.16633855752,8.3579289591,41.023275006,41.2190793898
PC1-20171211163803.pkl,-0.924986162363,5.1570883044,90.4482237139,66.088559261
PC1-20171211163920.pkl,1.18153437128,4.54868687578,59.1879885322,69.0857416551
PC1-20171211164028.pkl,-1.20013044409,9.70749005811,63.2486330868,69.7921364546
PC1-20171211164140.pkl,0.42672815683,8.9353554946,21.7511760542,15.807726961
PC1-20171211164247.pkl,-1.78180611816,5.27525947972,58.8400046021,31.3692992276
PC1-20171211164400.pkl,1.15395817776,3.05570056316,43.4086137478,4.34227617209
PC1-20171211164509.pkl,3.65487806854,7.86663222774,64.8678338051,61.0361065923
PC1-20171211164623.pkl,3.46519340796,2.65298978382,81.1722316707,7.47494267766
PC1-20171211164731.pkl,3.59894853737,6.28976964269,5.90919376764,90.7147605711
PC1-20171211164845.pkl,-2.00418171895,4.25835828976,58.8910542065,87.4065867833
PC1-20171211164950.pkl,-1.83022345553,7.95765844595,89.4927644796,49.2785328793
PC1-20171211165053.pkl,-2.60011521201,5.15572960352,25.1465747989,38.8907222084
PC1-20171211165229.pkl,-3.04290061944,0.929705526841,74.9601362693,79.9959913121
PC1-20171211165342.pkl,2.42109703256,6.65134589047,19.0486000787,27.3550374691
PC1-20171211165457.pkl,-2.37389785405,4.01753843543,60.7007183892,68.6169516371
PC1-20171211165614.pkl,-1.60913036307,4.99510754076,59.9590785258,49.8557675193
PC1-20171211165730.pkl,1.12214295215,5.07395715231,69.326790732,28.649817243
PC1-20171211165839.pkl,-0.0194838916218,2.34460251455,12.709428209,49.7940919544
PC1-20171211165948.pkl,-1.97964304326,0.896373748778,2.99972256573,46.1290585294
