file,mu0,gamma0,theta0,theta1,eta0,kappa0,scale0
PG3PC2a-20171226012619.pkl,0.145557338221,24.5389309171,0.592798831399,0.871500969107,1.96282504589,32.04997311,0.374232897135
PG3PC2a-20171226013053.pkl,0.374088547374,9.2803302047,0.679512884329,9.04599531062,7.01670980639,84.5339053604,0.536126035555
PG3PC2a-20171226013450.pkl,1.56311641445,29.1910390894,0.231486908223,4.53083819163,9.64249481136,6.80979595144,0.713920365112
PG3PC2a-20171226013927.pkl,2.1586277458,3.7625784701,0.460842381514,6.52666150188,7.25940246805,23.8019558442,0.562475604652
PG3PC2a-20171226015331.pkl,3.17918215124,10.6121643592,0.47971812822,7.22870162167,5.18268148319,41.7015996985,0.516333316415
PG3PC2a-20171226015601.pkl,3.16338623624,24.9737559642,0.727804848926,9.14899969417,6.00853776355,45.0037985522,0.65426893753
PG3PC2a-20171226020008.pkl,0.215562573938,16.1814774564,0.277139556766,0.055052970088,6.78890301445,16.6332538856,0.541355694124
PG3PC2a-20171226020243.pkl,3.81250081161,27.7610685334,0.756966361663,5.0339803632,7.41845756468,37.7146742283,0.851818889079
PG3PC2a-20171226020754.pkl,1.18324189557,10.9162527071,0.356673322758,3.54177504988,9.65456542991,55.6800090924,0.36215251827
PG3PC2a-20171226021246.pkl,0.824906909914,6.58673614716,0.889635614424,9.46819533019,6.73475919502,21.5306342327,0.780470631626
PG3PC2a-20171226021526.pkl,1.47169235371,18.3270293602,0.833089774043,2.95580114272,3.76362541725,97.5564746369,0.085546144337
PG3PC2a-20171226021756.pkl,0.330639189791,26.8018988677,0.641371814648,0.827220332095,6.18997361216,24.430780756,0.867898157319
PG3PC2a-20171226022029.pkl,0.822024477842,29.7103300184,0.967899061131,1.00726959605,1.05741855165,40.1579095243,0.759004783423
PG3PC2a-20171226022457.pkl,0.392912335988,16.8926310646,0.618376187891,9.51633526584,6.27182791513,76.0871214764,0.822841626098
PG3PC2a-20171226022920.pkl,1.09635752725,13.556672724,0.545207245061,4.65215547684,7.13454351565,59.3213870779,0.247073176929
PG3PC2a-20171226023150.pkl,2.30172557063,27.8063491797,0.536660777287,6.30942129321,5.47576816655,22.7997495282,0.0956854867631
PG3PC2a-20171226023404.pkl,2.10293411183,4.95803102839,0.143004150394,3.96134208888,1.10008639244,8.84706638469,0.784032096825
PG3PC2a-20171226023618.pkl,0.736390946593,7.25201961463,0.225736023739,0.809287651208,4.41225856971,28.4832259103,0.876947317784
PG3PC2a-20171226023847.pkl,3.74007086986,22.728815403,0.314550190628,3.38733250717,9.15996015654,99.1391264986,0.322939643299
PG3PC2a-20171226024102.pkl,0.920198818644,8.29719432436,0.205726198417,1.09443531766,7.0394961621,75.9765915193,0.388474635715
PG3PC2a-20171226024524.pkl,3.37113455251,6.35204739699,0.623633117885,6.29943502411,2.59361313309,70.357006687,0.0713767877308
PG3PC2a-20171226024758.pkl,2.83350952044,18.3169769449,0.556352324422,2.15201935812,8.23717637609,24.343868842,0.133011347686
PG3PC2a-20171226025048.pkl,2.33289360214,28.2848894135,0.548624896576,3.52132191205,3.36674051905,12.1191317657,0.647288083269
PG3PC2a-20171226025535.pkl,2.94049379986,2.03729594758,0.836722615608,1.52281333966,5.45258234882,99.1344901632,0.641699540367
PG3PC2a-20171226030324.pkl,1.22037796825,17.1974669953,0.610429549795,5.79310111236,8.11670163184,67.166072637,0.358412763179
